source_record_id,report_type,original_text
INC-001,Unsafe Condition,Unsafe condition: ignored lockout/tagout procedure involving pressure relief valve at generator room.
INC-002,Spill,Small chemical drum leak detected near eastern rig. Observed missing safety guard.
INC-003,Spill,Small electrical panel leak detected near pump station 2. Observed missing safety guard.
INC-004,Injury,Worker found exposed wiring near loading dock involving electrical panel. First aid required.
INC-005,Near Miss,A forklift failed to open during testing near main deck. No injuries reported but high potential for harm.
INC-006,Unsafe Act,Worker observed operating electrical panel unsafely at generator room. Slipped on wet floor.
INC-007,Injury,Worker dropped a tool near eastern rig involving conveyor belt. First aid required.
INC-008,Unsafe Act,Worker observed operating forklift unsafely at tank 4. Found exposed wiring.
INC-009,Unsafe Act,Worker observed operating pressure relief valve unsafely at tank 4. Found exposed wiring.
INC-010,Unsafe Act,Worker observed operating pressure relief valve unsafely at pump station 2. Dropped a tool.
INC-011,Unsafe Act,Worker observed operating electrical panel unsafely at warehouse zone A. Failed to open during testing.
INC-012,Unsafe Condition,Unsafe condition: swung unexpectedly involving pressure relief valve at eastern rig.
INC-013,Unsafe Condition,Unsafe condition: failed to open during testing involving conveyor belt at pump station 2.
INC-014,Unsafe Condition,Unsafe condition: noticed unusual vibration involving crane load at valve V-102.
INC-015,Spill,Small staircase leak detected near warehouse zone A. Ignored lockout/tagout procedure.
INC-016,Unsafe Condition,Unsafe condition: slipped on wet floor involving electrical panel at main deck.
INC-017,Spill,Small staircase leak detected near warehouse zone B. Observed missing safety guard.
INC-018,Injury,Worker reported a minor cut near pump station 2 involving staircase. First aid required.
INC-019,Equipment Failure,The crane load at scaffolding on level 3 slipped on wet floor. Operations halted temporarily.
INC-020,Unsafe Act,Worker observed operating crude oil unsafely at scaffolding on level 3. Detected a leak.
INC-021,Spill,Small crude oil leak detected near eastern rig. Reported a minor cut.
INC-022,Injury,Worker dropped a tool near pump station 2 involving wrench. First aid required.
INC-023,Unsafe Act,Worker observed operating pressure relief valve unsafely at valve V-102. Dropped a tool.
